hotel,country,is_canceled,lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,children,meal,booking_changes,total_of_special_requests,adr
City Hotel,USA,1,13,20,0,5,2,0,BB,0,2,182
City Hotel,USA,1,13,20,0,5,2,0,BB,0,2,182
City Hotel,USA,1,283,21,1,1,2,0,HB,0,2,126.9
City Hotel,USA,1,40,23,1,4,2,0,BB,2,2,196
City Hotel,USA,1,315,27,0,1,2,0,SC,0,2,89.1
City Hotel,USA,1,315,27,0,1,0,2,BB,0,2,91.85
City Hotel,USA,1,315,27,0,1,0,2,BB,0,2,91.85
City Hotel,USA,1,315,27,0,1,0,2,BB,2,2,91.85
City Hotel,USA,1,238,28,2,4,2,0,BB,2,2,122.83
City Hotel,USA,1,92,31,0,3,2,0,SC,0,2,125
City Hotel,USA,1,251,32,2,1,2,0,SC,0,2,112.5
City Hotel,USA,1,78,33,0,2,2,2,BB,0,2,240
City Hotel,USA,1,85,33,0,2,1,0,BB,3,2,190
City Hotel,USA,1,91,34,0,1,1,0,BB,0,2,140
City Hotel,USA,1,141,34,0,2,2,0,BB,0,2,150
City Hotel,USA,1,305,35,1,2,2,0,BB,0,2,107.1
City Hotel,USA,1,31,29,2,0,1,0,BB,1,2,135
City Hotel,USA,0,5,33,4,15,2,0,BB,4,2,75
City Hotel,USA,0,82,36,0,1,2,0,BB,0,2,89.25
City Hotel,USA,0,52,37,1,1,2,0,BB,0,2,72.76
City Hotel,USA,0,8,37,0,2,2,0,BB,1,2,80.85
City Hotel,USA,0,45,42,2,2,2,0,BB,0,2,78.54
City Hotel,USA,0,113,15,1,3,2,0,BB,0,2,63.49
City Hotel,USA,0,22,41,0,1,2,0,BB,0,2,82.39
City Hotel,USA,0,1,41,2,2,2,0,BB,0,2,145
City Hotel,USA,0,83,53,2,1,2,0,BB,0,2,85.5
City Hotel,USA,0,5,3,1,2,2,0,BB,0,2,80.3
City Hotel,USA,0,2,6,1,3,2,0,BB,1,2,93
City Hotel,USA,0,5,9,0,1,2,0,SC,0,2,81
City Hotel,USA,0,11,13,0,2,3,0,BB,0,2,182
City Hotel,USA,0,102,19,2,2,1,0,BB,0,2,89.25
City Hotel,USA,0,77,20,0,4,2,0,BB,0,2,132.6
City Hotel,USA,0,14,21,2,0,2,2,BB,0,2,211
City Hotel,USA,0,101,21,0,3,3,0,BB,1,2,198.9
City Hotel,USA,0,14,22,1,0,2,0,SC,0,2,129
City Hotel,USA,0,13,22,1,2,2,1,SC,0,2,105.11
City Hotel,USA,0,43,24,0,1,2,0,BB,0,2,83.85
City Hotel,USA,0,3,24,0,3,1,0,BB,0,2,109.85
City Hotel,USA,0,137,25,1,1,2,0,BB,0,2,101.53
City Hotel,USA,0,39,26,0,2,1,2,BB,0,2,168.3
City Hotel,USA,0,84,27,2,1,3,0,BB,5,2,103.72
City Hotel,USA,0,12,27,0,2,1,0,BB,0,2,151
City Hotel,USA,0,107,27,0,5,3,0,BB,3,2,146.7
City Hotel,USA,0,82,27,0,1,3,0,BB,0,2,185.03
City Hotel,USA,0,128,27,2,4,2,2,BB,0,2,163.2
City Hotel,USA,0,94,29,0,2,3,0,BB,0,2,137.7
City Hotel,USA,0,21,35,0,1,2,1,SC,1,2,146.5
City Hotel,USA,0,112,35,0,4,2,0,BB,0,2,92.65
City Hotel,USA,0,112,35,0,4,2,0,BB,0,2,92.65
City Hotel,USA,0,19,36,2,1,2,0,SC,0,2,113
City Hotel,USA,0,191,36,0,4,1,0,BB,1,2,84.43
City Hotel,USA,0,62,36,2,1,2,0,BB,0,2,109.8
City Hotel,USA,0,12,37,0,1,2,0,SC,0,2,129
City Hotel,USA,0,52,37,0,2,3,0,BB,1,2,149.4
City Hotel,USA,0,50,37,1,1,2,0,BB,0,2,145.8
City Hotel,USA,0,14,38,1,0,1,0,SC,0,2,89
City Hotel,USA,0,38,37,1,1,2,0,BB,1,2,170.57
City Hotel,USA,0,17,38,2,0,2,0,SC,0,2,93.5
City Hotel,USA,0,34,38,2,0,2,0,SC,0,2,125.1
City Hotel,USA,0,5,38,1,0,2,0,BB,1,2,121.63
City Hotel,USA,0,94,38,2,1,2,0,BB,0,2,135.9
City Hotel,USA,0,30,38,0,1,2,0,SC,0,2,125.1
City Hotel,USA,0,115,38,0,1,2,0,SC,0,2,118.8
City Hotel,USA,0,1,38,1,1,2,0,BB,0,2,155.54
City Hotel,USA,0,57,39,0,1,2,0,BB,0,2,115.04
City Hotel,USA,0,57,39,0,1,2,0,BB,0,2,115.04
City Hotel,USA,0,22,39,2,1,2,0,BB,0,2,139
City Hotel,USA,0,47,41,2,0,2,0,SC,0,2,83.16
City Hotel,USA,0,5,40,2,2,2,0,BB,0,2,221.38
City Hotel,USA,0,49,41,0,2,1,0,BB,0,2,113.4
City Hotel,USA,0,95,41,1,2,3,0,BB,0,2,151.2
City Hotel,USA,0,36,43,0,2,2,0,SC,0,2,119.5
City Hotel,USA,0,71,45,0,1,2,0,SC,2,2,79.2
City Hotel,USA,0,71,45,0,1,2,0,SC,2,2,79.2
City Hotel,USA,0,46,46,1,0,1,0,BB,0,2,97.2
City Hotel,USA,0,20,46,1,3,1,0,SC,0,2,171.13
City Hotel,USA,0,72,46,0,2,2,0,BB,0,2,175.5
City Hotel,USA,0,104,46,2,3,2,0,BB,2,2,108.43
City Hotel,USA,0,27,47,0,4,2,0,BB,0,2,88.4
City Hotel,USA,0,3,49,0,2,2,0,BB,0,2,117.5
City Hotel,USA,0,103,50,0,2,2,0,SC,0,2,79.2
City Hotel,USA,0,53,51,2,5,2,0,SC,0,2,74.8
City Hotel,USA,0,53,51,2,5,2,0,SC,0,2,74.8
City Hotel,USA,0,18,52,0,2,4,0,BB,0,2,199.43
City Hotel,USA,0,1,53,2,0,4,0,BB,1,2,120
City Hotel,USA,0,163,53,1,2,3,0,BB,0,2,122.4
City Hotel,USA,0,163,53,1,2,3,0,BB,0,2,122.4
City Hotel,USA,0,23,53,0,1,3,0,BB,0,2,188
City Hotel,USA,0,23,53,0,2,2,0,BB,0,2,148
City Hotel,USA,0,8,4,0,1,1,0,SC,1,2,0
City Hotel,USA,0,240,5,0,1,2,0,SC,0,2,79.2
City Hotel,USA,0,12,6,1,1,2,0,BB,0,2,108
City Hotel,USA,0,154,9,0,1,2,0,BB,0,2,93.6
City Hotel,USA,0,72,11,0,3,2,0,BB,0,2,79.2
City Hotel,USA,0,110,11,1,1,2,0,BB,2,2,106.2
City Hotel,USA,0,59,12,1,1,2,0,BB,0,2,106.2
City Hotel,USA,0,0,13,0,1,1,0,BB,1,2,108
City Hotel,USA,0,112,13,2,1,2,0,BB,0,2,97.2
City Hotel,USA,0,116,13,0,2,3,0,BB,0,2,142.2
City Hotel,USA,0,202,15,2,1,3,0,BB,0,2,149.4
City Hotel,USA,0,66,15,0,3,3,0,BB,0,2,253.33
City Hotel,USA,0,71,16,1,2,3,0,BB,0,2,171
City Hotel,USA,0,317,17,0,3,2,0,BB,0,2,118.8
City Hotel,USA,0,21,17,0,1,2,0,SC,0,2,115
City Hotel,USA,0,21,17,0,1,2,0,SC,0,2,115
City Hotel,USA,0,166,18,1,1,2,0,SC,0,2,99
City Hotel,USA,0,96,18,1,1,2,0,BB,0,2,105
City Hotel,USA,0,14,18,0,2,1,0,BB,0,2,140
City Hotel,USA,0,34,19,0,1,2,0,SC,0,2,180
City Hotel,USA,0,34,19,0,1,2,0,SC,0,2,180
City Hotel,USA,0,167,20,0,1,2,0,BB,1,2,118.8
City Hotel,USA,0,103,20,0,1,2,0,BB,0,2,144
City Hotel,USA,0,105,20,0,3,2,0,BB,0,2,144
City Hotel,USA,0,105,20,0,3,1,0,BB,0,2,144
City Hotel,USA,0,19,21,1,0,1,0,BB,0,2,140
City Hotel,USA,0,21,21,1,1,2,0,BB,2,2,140
City Hotel,USA,0,13,21,0,1,3,0,BB,1,2,205
City Hotel,USA,0,97,22,1,0,2,0,SC,0,2,140
City Hotel,USA,0,19,22,1,0,2,0,SC,1,2,140
City Hotel,USA,0,209,22,0,4,2,1,BB,0,2,153.79
City Hotel,USA,0,46,24,0,2,2,0,BB,0,2,150
City Hotel,USA,0,83,24,0,2,2,0,BB,0,2,146
City Hotel,USA,0,83,24,0,2,2,0,BB,0,2,146
City Hotel,USA,0,38,25,1,1,2,0,BB,0,2,165
City Hotel,USA,0,96,25,0,1,2,1,BB,2,2,162
City Hotel,USA,0,293,25,2,3,3,0,BB,2,2,141.36
City Hotel,USA,0,41,24,2,5,2,1,BB,1,2,194.29
City Hotel,USA,0,114,25,0,4,2,1,BB,0,2,144
City Hotel,USA,0,66,26,0,2,3,0,BB,1,2,190
City Hotel,USA,0,158,26,0,3,2,0,BB,0,2,122.7
City Hotel,USA,0,178,26,0,3,2,2,BB,0,2,216.64
City Hotel,USA,0,18,27,1,0,2,0,SC,0,2,160
City Hotel,USA,0,193,29,0,2,3,0,HB,0,2,188.1
City Hotel,USA,0,143,30,2,1,3,0,BB,1,2,235
City Hotel,USA,0,143,30,2,1,3,0,BB,1,2,235
City Hotel,USA,0,56,31,0,1,2,1,BB,2,2,210
City Hotel,USA,0,108,32,1,3,3,0,BB,2,2,195
City Hotel,USA,0,91,33,0,1,3,0,BB,0,2,230
City Hotel,USA,0,36,33,0,3,3,0,BB,0,2,219
City Hotel,USA,0,35,33,0,2,2,0,BB,0,2,190
City Hotel,USA,0,230,33,0,3,2,1,BB,0,2,148.5
City Hotel,USA,0,6,34,1,0,2,3,BB,0,2,264.44
City Hotel,USA,0,161,34,2,3,2,1,BB,0,2,282.5
City Hotel,USA,0,120,34,0,2,1,0,BB,3,2,180
City Hotel,USA,0,141,34,0,2,2,0,BB,0,2,150
City Hotel,USA,0,142,34,0,1,2,0,BB,0,2,150
City Hotel,USA,0,141,34,0,2,2,0,HB,1,2,186
City Hotel,USA,0,141,34,0,2,2,0,BB,0,2,150
City Hotel,USA,0,142,34,0,1,2,0,BB,1,2,150
City Hotel,USA,0,142,34,0,1,2,0,BB,1,2,150
City Hotel,USA,0,141,34,0,2,2,0,BB,0,2,150
City Hotel,USA,0,101,35,1,0,2,0,HB,4,2,166
City Hotel,USA,0,101,35,1,0,2,0,HB,4,2,166
City Hotel,USA,0,101,35,1,0,2,0,HB,4,2,166
City Hotel,USA,0,60,35,1,0,1,0,SC,0,2,140
City Hotel,USA,0,15,34,2,2,2,0,BB,0,2,132.53
City Hotel,USA,0,77,18,1,1,2,1,BB,4,2,112.5
City Hotel,USA,0,118,24,1,5,1,0,BB,1,2,110
City Hotel,USA,0,128,29,1,2,3,0,BB,3,2,116.32
City Hotel,USA,0,36,42,0,1,1,0,SC,0,2,102.6
City Hotel,USA,0,36,42,0,1,1,0,SC,0,2,102.6
City Hotel,USA,0,36,42,0,1,1,0,SC,0,2,102.6
City Hotel,USA,0,36,42,0,1,1,0,SC,0,2,102.6
City Hotel,USA,0,22,1,0,1,2,0,BB,1,2,67
City Hotel,USA,0,21,1,0,2,1,0,BB,0,2,67
City Hotel,USA,0,75,2,2,1,1,0,BB,0,2,67
City Hotel,USA,0,75,2,2,1,1,0,BB,0,2,67
City Hotel,USA,0,75,2,2,1,1,0,BB,0,2,67
City Hotel,USA,0,75,2,2,1,1,0,BB,0,2,67
City Hotel,USA,0,75,2,2,1,1,0,BB,0,2,67
City Hotel,USA,0,0,2,1,1,1,0,BB,1,2,67
City Hotel,USA,0,10,2,2,1,1,0,BB,0,2,69
City Hotel,USA,0,10,2,2,1,1,0,BB,0,2,69
City Hotel,USA,0,75,2,2,1,1,0,BB,0,2,67
City Hotel,USA,0,75,2,2,1,1,0,BB,0,2,67
City Hotel,USA,0,75,2,2,1,1,0,BB,0,2,67
City Hotel,USA,0,75,2,2,1,2,0,BB,4,2,78
City Hotel,USA,0,74,1,2,3,1,0,BB,2,2,67
City Hotel,USA,0,27,2,0,2,1,0,BB,0,2,67
City Hotel,USA,0,74,1,2,3,1,0,BB,1,2,67
City Hotel,USA,0,74,1,2,3,1,0,BB,1,2,67
City Hotel,USA,0,74,1,2,3,1,0,BB,2,2,67
City Hotel,USA,0,125,32,0,4,2,0,BB,0,2,112.5
City Hotel,USA,0,125,32,0,4,2,0,BB,0,2,112.5
City Hotel,USA,0,115,34,2,1,2,0,BB,0,2,125
City Hotel,USA,0,0,46,1,3,2,0,BB,1,1,106
City Hotel,USA,0,31,6,0,1,2,0,BB,0,1,89.3
City Hotel,USA,0,100,28,1,0,2,0,SC,0,1,112.5
City Hotel,USA,0,7,32,0,1,2,2,BB,0,1,240
City Hotel,USA,0,32,51,2,2,2,0,SC,0,1,66.59
City Hotel,USA,0,87,2,0,1,2,0,SC,0,1,88.2
City Hotel,USA,0,49,10,1,2,2,0,BB,2,1,86.76
City Hotel,USA,0,202,15,2,1,2,0,BB,3,1,215.1
City Hotel,USA,0,0,15,1,2,2,0,BB,1,1,162.67
City Hotel,USA,0,3,36,0,1,2,0,BB,0,1,143
City Hotel,USA,0,0,37,1,1,2,0,BB,0,1,133.5
City Hotel,USA,0,57,43,0,1,2,0,BB,1,1,94.5
City Hotel,USA,0,62,44,0,1,2,2,SC,0,1,139.5
City Hotel,USA,0,14,41,1,0,1,0,BB,0,1,120
City Hotel,USA,0,3,43,0,3,2,0,SC,0,1,114
City Hotel,USA,0,22,36,0,2,2,1,BB,0,1,199.82
City Hotel,USA,0,327,18,0,2,1,0,BB,2,1,93.5
City Hotel,USA,1,70,11,0,2,2,0,SC,0,1,67.5
City Hotel,USA,1,69,11,1,1,2,2,BB,1,1,150.3
City Hotel,USA,1,69,11,1,1,2,2,BB,1,1,150.3
City Hotel,USA,1,69,11,1,1,2,0,BB,1,1,72.9
City Hotel,USA,1,14,15,2,0,2,0,SC,0,1,89
City Hotel,USA,1,64,16,1,1,2,0,SC,0,1,94.5
City Hotel,USA,1,130,20,1,3,2,0,BB,0,1,113.05
City Hotel,USA,1,29,21,2,3,2,0,BB,0,1,132.72
City Hotel,USA,1,144,22,2,2,2,0,BB,1,1,118.15
City Hotel,USA,1,144,22,2,2,2,2,BB,1,1,177.65
City Hotel,USA,1,144,22,2,2,2,2,BB,1,1,177.65
City Hotel,USA,1,31,24,0,2,2,0,BB,0,1,110.7
City Hotel,USA,1,53,25,1,0,2,0,BB,0,1,129.2
City Hotel,USA,1,28,26,0,1,2,0,BB,0,1,126
City Hotel,USA,1,129,27,1,4,2,0,SC,0,1,80.75
City Hotel,USA,1,81,28,2,1,2,0,SC,0,1,103.5
City Hotel,USA,1,99,29,2,1,2,0,SC,0,1,94.5
City Hotel,USA,1,134,30,1,0,2,0,SC,0,1,94.5
City Hotel,USA,1,0,32,1,0,2,0,SC,0,1,109
City Hotel,USA,1,125,34,1,1,3,0,BB,0,1,137.7
City Hotel,USA,1,52,35,2,1,3,0,BB,0,1,150.9
City Hotel,USA,1,193,36,0,1,2,0,BB,1,1,108.9
City Hotel,USA,1,29,37,2,0,2,0,BB,0,1,130.15
City Hotel,USA,1,49,37,1,2,1,0,BB,0,1,115.5
City Hotel,USA,1,5,38,0,1,2,0,SC,0,1,159
City Hotel,USA,1,2,40,0,1,2,0,SC,1,1,0
City Hotel,USA,1,47,41,2,0,1,0,BB,0,1,127
City Hotel,USA,1,39,41,2,0,1,0,BB,1,1,134
City Hotel,USA,1,31,41,2,1,1,0,SC,0,1,114.3
City Hotel,USA,1,122,41,0,1,2,0,SC,0,1,108
City Hotel,USA,1,35,42,0,3,2,0,BB,0,1,151.5
City Hotel,USA,1,46,44,0,3,2,0,SC,0,1,112.67
City Hotel,USA,1,30,45,4,9,1,2,BB,0,1,186.22
City Hotel,USA,1,30,45,4,9,1,2,BB,0,1,186.22
City Hotel,USA,1,109,46,0,4,1,0,BB,0,1,216
City Hotel,USA,1,131,47,2,4,2,0,SC,0,1,85.27
City Hotel,USA,1,37,49,2,2,2,0,SC,0,1,74.8
City Hotel,USA,1,37,49,2,2,2,0,SC,0,1,74.8
City Hotel,USA,1,88,51,2,5,3,0,BB,2,1,119
City Hotel,USA,1,89,52,2,3,3,0,BB,0,1,119
City Hotel,USA,1,89,52,2,3,2,0,SC,0,1,74.8
City Hotel,USA,1,94,52,2,2,3,0,BB,0,1,119
City Hotel,USA,1,94,52,2,2,3,0,BB,0,1,119
City Hotel,USA,1,75,1,1,1,1,0,BB,0,1,86.4
City Hotel,USA,1,65,5,0,1,2,0,BB,0,1,93.6
City Hotel,USA,1,32,8,2,4,1,0,BB,0,1,100.3
City Hotel,USA,1,43,10,2,3,2,0,BB,0,1,100.3
City Hotel,USA,1,28,12,0,4,3,0,BB,0,1,127.93
City Hotel,USA,1,10,15,1,1,2,0,SC,0,1,115
City Hotel,USA,1,196,16,2,1,2,0,SC,0,1,99
City Hotel,USA,1,15,16,1,4,2,0,SC,0,1,115
City Hotel,USA,1,90,16,0,5,2,0,BB,0,1,135
City Hotel,USA,1,26,17,1,1,2,0,SC,0,1,115
City Hotel,USA,1,228,18,1,2,2,0,SC,0,1,99
City Hotel,USA,1,148,18,1,2,2,0,SC,0,1,108
City Hotel,USA,1,228,18,1,2,2,0,SC,0,1,110
City Hotel,USA,1,5,18,1,2,1,0,SC,1,1,190
City Hotel,USA,1,102,18,0,4,1,0,SC,2,1,111
City Hotel,USA,1,9,18,0,4,2,0,SC,0,1,150
City Hotel,USA,1,316,19,0,2,3,0,BB,0,1,142.2
City Hotel,USA,1,57,19,0,1,2,0,BB,0,1,152.1
City Hotel,USA,1,34,19,0,1,2,0,BB,0,1,169
City Hotel,USA,1,91,19,1,3,2,0,SC,2,1,127.25
City Hotel,USA,1,224,20,1,0,2,0,SC,0,1,107.1
City Hotel,USA,1,151,20,0,1,2,0,BB,0,1,140
City Hotel,USA,1,151,20,0,1,2,0,BB,0,1,140
City Hotel,USA,1,24,20,0,2,2,0,SC,0,1,128
City Hotel,USA,1,28,21,1,2,1,0,SC,0,1,160
City Hotel,USA,1,23,21,0,1,2,0,SC,0,1,160
City Hotel,USA,1,127,21,2,2,2,0,BB,0,1,126
City Hotel,USA,1,25,22,0,1,2,0,BB,0,1,160
City Hotel,USA,1,31,22,0,2,2,0,SC,0,1,140
City Hotel,USA,1,16,22,0,1,2,0,SC,0,1,140
City Hotel,USA,1,43,22,2,5,2,0,SC,0,1,140
City Hotel,USA,1,34,23,1,5,1,0,SC,0,1,130
City Hotel,USA,1,38,23,0,2,2,1,BB,0,1,160
City Hotel,USA,1,31,23,0,3,2,0,SC,0,1,146.67
City Hotel,USA,1,31,24,2,1,2,0,BB,2,1,126.67
City Hotel,USA,1,156,24,0,2,2,0,SC,0,1,126
City Hotel,USA,1,51,25,0,2,3,0,BB,0,1,200
City Hotel,USA,1,51,25,0,2,2,0,BB,0,1,240
City Hotel,USA,1,19,25,0,4,2,2,BB,0,1,250
City Hotel,USA,1,51,25,0,4,2,0,SC,0,1,135
City Hotel,USA,1,51,25,0,4,2,0,SC,0,1,135
City Hotel,USA,1,139,25,0,3,2,0,BB,0,1,126
City Hotel,USA,1,272,26,0,3,3,0,BB,0,1,149.4
City Hotel,USA,1,272,26,0,3,2,0,BB,0,1,117
City Hotel,USA,1,36,26,0,1,2,0,SC,0,1,160
City Hotel,USA,1,78,27,0,3,2,0,SC,0,1,120
City Hotel,USA,1,99,27,1,1,2,0,SC,0,1,120
City Hotel,USA,1,34,28,2,2,2,0,SC,0,1,130
City Hotel,USA,1,34,28,2,2,2,0,SC,0,1,130
City Hotel,USA,1,56,28,1,1,2,1,BB,0,1,160
City Hotel,USA,1,155,29,1,1,2,0,SC,0,1,89.1
City Hotel,USA,1,155,29,1,1,2,1,BB,0,1,125.1
City Hotel,USA,1,31,29,0,3,2,0,SC,0,1,140
City Hotel,USA,1,80,30,0,4,2,2,HB,0,1,287
City Hotel,USA,1,302,31,1,2,2,0,SC,0,1,89.1
City Hotel,USA,1,302,31,1,2,2,0,SC,0,1,89.1
City Hotel,USA,1,302,31,1,2,2,0,SC,0,1,89.1
City Hotel,USA,1,302,31,1,2,2,0,SC,0,1,89.1
City Hotel,USA,1,302,31,1,2,2,0,SC,0,1,89.1
City Hotel,USA,1,302,31,1,2,2,0,SC,0,1,89.1
City Hotel,USA,1,19,31,2,2,3,0,BB,0,1,260
City Hotel,USA,1,168,32,4,10,1,0,BB,0,1,119.83
City Hotel,USA,1,172,32,4,10,1,0,BB,0,1,128.83
City Hotel,USA,1,158,32,0,2,2,0,SC,0,1,118.75
City Hotel,USA,1,28,32,0,3,2,0,SC,0,1,160
City Hotel,USA,1,128,32,0,4,2,0,SC,1,1,125
City Hotel,USA,1,128,32,0,4,2,2,BB,1,1,235
City Hotel,USA,1,128,32,0,4,3,0,BB,1,1,195
City Hotel,USA,1,128,32,0,4,2,0,SC,1,1,125
City Hotel,USA,1,27,32,0,1,2,0,SC,1,1,160
City Hotel,USA,1,176,33,2,3,2,0,BB,0,1,115.02
City Hotel,USA,1,121,34,2,4,2,0,SC,0,1,125
City Hotel,USA,1,211,34,0,1,1,0,BB,0,1,108
City Hotel,USA,1,42,34,0,2,2,0,SC,0,1,129
City Hotel,USA,1,17,34,0,2,2,0,SC,0,1,129.5
City Hotel,USA,1,81,34,1,1,1,0,BB,0,1,170
City Hotel,USA,1,17,35,1,0,2,0,SC,0,1,89
City Hotel,USA,1,68,35,0,2,2,0,SC,0,1,129
City Hotel,USA,0,18,38,0,3,2,0,SC,0,1,73.92
City Hotel,USA,0,12,38,2,7,1,0,BB,0,1,130.22
City Hotel,USA,0,12,38,2,7,1,0,BB,0,1,130.22
